varname,item,country,date,N,agree,disagree,dk
usiaalcaarg,(For respondents who say they know about the agreement) Would the FTAAs be beneficial or harmful in terms of creating new jobs?,Argentina,3/19/2001,287,65,14.5,20.5
usiaalcaarg,(For respondents who say they know about the agreement) Would the FTAAs be beneficial or harmful in terms of creating new jobs?,Argentina,11/30/2001,445,50,22,27
lbalcaarg,Benefits of ALCA in the economic development of the country,Argentina,5/4/2001,1200,48.33,33,18.67
pewglobarg,What do you think about the growing trade and business ties between your country and other countries?,Argentina,7/29/2002,814,60,31,9
cimaalcaarg,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Argentina,2/14/2003,1015,31,24,45
cimaglobarg,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Argentina,2/14/2003,1015,26,51,23
lbftaarg_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Argentina,8/19/2003,1200,12,39.5,48.5
cimaalcaarg,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Argentina,5/30/2004,1014,19,41,40
cimaglobarg,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Argentina,5/30/2004,1014,27,50,23
lbftaarg_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Argentina,6/18/2004,1200,30,20.75,49.25
lbalcaarg,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Argentina,6/18/2004,1200,49.5,22.33,28.17
lbftaarg_job,impact of economic integration agreements on job opportunities,Argentina,11/5/2006,1200,51.75,11.83,36.42
lbftaarg_acc,impact of economic integration agreements on access to goods,Argentina,11/5/2006,1200,62.75,13.08,24.17
lbftaarg_ind,impact of economic integration agreements on quality of life,Argentina,11/5/2006,1200,55.42,13.75,30.83
lbftaarg_dev,impact of economic integration agreements on country development,Argentina,11/5/2006,1200,64.59,10.75,24.66
lbfreearg,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Argentina,11/5/2006,1200,69.75,24.17,6.08
pewglobarg,What do you think about the growing trade and business ties between your country and other countries?,Argentina,4/23/2007,800,68,19,12
lbfreearg,Agree with the elimination of import and export taxes in order to increase regional integration,Argentina,10/9/2007,1200,36.67,54,9.33
lbftaarg_job,International free trade treaties have a very positive impact on job opportunities,Argentina,10/9/2007,1200,33.08,20.67,46.25
pewglobarg,What do you think about the growing trade and business ties between your country and other countries?,Argentina,4/3/2008,801,62,27,11
pewglobarg,What do you think about the growing trade and business ties between your country and other countries?,Argentina,6/3/2009,800,65,24,11
pewglobarg,What do you think about the growing trade and business ties between your country and other countries?,Argentina,5/4/2010,803,72,21,8
pewglobarg,What do you think about the growing trade and business ties between your country and other countries?,Argentina,5/11/2014,1000,68,16,16
pewglobarg_wag,Do you agree that trade with other countries leads to an increase in the wages of your country's workers?,Argentina,5/11/2014,1000,59,20,22
pewglobarg_job,Do you agree that trade with other countries leads to jobs creation in your country?,Argentina,5/11/2014,1000,63,21,16
pewglobarg_pri,Do you agree that trade with other countries leads to a decrease in the price of products sold in your country?,Argentina,5/11/2014,1000,39,41,20
lbfreearg,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Argentina,2/15/2015,1200,71.59,15.58,12.83
lbfreearg,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Argentina,6/15/2016,1200,75.25,18.67,6
lbfreearg,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Argentina,8/28/2017,1200,75.33,22.66,2
pewglobarg,What do you think about the growing trade and business ties between your country and other countries?,Argentina,7/10/2018,1000,54,38,8
pewglobarg_wag,Do you agree that trade with other countries leads to an increase in the wages of your country's workers?,Argentina,7/10/2018,1000,47,44,9
pewglobarg_job,Do you agree that trade with other countries leads to jobs creation in your country?,Argentina,7/10/2018,1000,38,53,8
pewglobarg_pri,Do you agree that trade with other countries leads to a decrease in the price of products sold in your country?,Argentina,7/10/2018,1000,33,58,8
lbfreebol,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Bolivia,7/10/1996,772,69.82,22.15,8.03
lbalcabol,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Bolivia,7/10/1996,772,49.35,34.84,15.81
lbfreebol,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Bolivia,12/18/1997,796,55.9,36.44,7.66
wsjfreebol,Do you think that free trade is good or bad for our country?,Bolivia,3/30/1998,0,82,,
lbalcabol,Benefits of ALCA in the economic development of the country,Bolivia,5/31/2001,1075,69.86,14.61,15.53
pewglobbol,What do you think about the growing trade and business ties between your country and other countries?,Bolivia,7/27/2002,782,77,19,5
cimaalcabol,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Bolivia,2/14/2003,828,23,56,21
cimaglobbol,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Bolivia,2/14/2003,828,24,68,8
lbftabol_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Bolivia,8/13/2003,1200,29.25,57.59,13.16
cimaalcabol,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Bolivia,5/30/2004,819,25,51,24
cimaglobbol,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Bolivia,5/30/2004,819,25,70,5
lbftabol_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Bolivia,6/10/2004,1201,27.15,28.15,44.71
lbalcabol,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Bolivia,6/10/2004,1201,46.71,28.14,25.15
lbftabol_job,impact of economic integration agreements on job opportunities,Bolivia,11/5/2006,1200,54.84,25.25,19.92
lbftabol_acc,impact of economic integration agreements on access to goods,Bolivia,11/5/2006,1200,53.84,24.16,22
lbftabol_ind,impact of economic integration agreements on quality of life,Bolivia,11/5/2006,1200,54.58,23.33,22.09
lbftabol_dev,impact of economic integration agreements on country development,Bolivia,11/5/2006,1200,58.66,22.42,18.91
lbfreebol,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Bolivia,11/5/2006,1200,56.25,37.09,6.67
pewglobbol,What do you think about the growing trade and business ties between your country and other countries?,Bolivia,5/1/2007,834,80,15,5
lbfreebol,Agree with the elimination of import and export taxes in order to increase regional integration,Bolivia,10/9/2007,1200,43.08,49.84,7.08
lbftabol_job,International free trade treaties have a very positive impact on job opportunities,Bolivia,10/9/2007,1200,49.42,19.5,31.09
cimaftabol,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Bolivia,3/31/2009,2155,41,47,12
cimaglobbol,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Bolivia,3/31/2009,2155,37,47,16
cimaftabol,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Bolivia,3/31/2011,1029,45,,
lbfreebol,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Bolivia,2/15/2015,1200,61.5,24,14.5
lbfreebol,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Bolivia,6/15/2016,1200,59.58,28.83,11.58
lbfreebol,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Bolivia,8/28/2017,1200,69.66,27.91,2.42
usiafreebra,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. Do you personally favor free trade?,Brazil,10/31/1985,2811,40.2,34.5,25.3
usiafreebra,Do you think that free trade is good for the development of your country?,Brazil,10/1/1985,1701,57,29,14
usiafreebra,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Brazil,8/23/1990,1000,58.2,32.4,9.4
usiafreebra,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Brazil,8/31/1994,1400,53.5,39.4,7.1
lbalcabra,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Brazil,6/30/1995,1200,62.08,14.92,23
usiamercobra,"(For respondents who say they know about the agreement) Taking everything into account, to what degree do you think that MERCOSUR benefits your country's economy",Brazil,4/9/1996,754,63.5,30,6.5
lbfreebra,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Brazil,7/8/1996,1080,70,23.52,6.48
lbalcabra,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Brazil,7/8/1996,1080,46.2,36.67,17.13
usiamercobra,"(For respondents who say they know about the agreement) Taking everything into account, to what degree do you think that MERCOSUR benefits your country's economy",Brazil,4/8/1997,736,55.7,36.4,7.8
usiafreebra,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Brazil,4/8/1997,1200,49.5,35.5,15
lbfreebra,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Brazil,12/28/1997,1001,65.94,22.18,11.89
wsjfreebra,Do you think that free trade is good or bad for our country?,Brazil,3/30/1998,0,74,,
wsjpta1bra,Do you believe (Mercosur/CACM) has helped or hurt with respect to you and your family?,Brazil,3/30/1999,993,33,,
wsjpta2bra,Do you believe (Mercosur/CACM) has helped or hurt with respect to the economy of the country?,Brazil,3/30/1999,993,70,,
usiamercobra,"(For respondents who say they know about the agreement) Taking everything into account, to what degree do you think that MERCOSUR benefits your country's economy",Brazil,10/6/1999,973,55.4,38.4,6.2
usiafreebra,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Brazil,10/6/1999,1500,47.2,35.7,17
usiaalcabra,(For respondents who say they know about the agreement) Would the FTAAs be beneficial or harmful in terms of creating new jobs?,Brazil,3/15/2001,378,84,10,6
usiaalcabra,(For respondents who say they know about the agreement) Would the FTAAs be beneficial or harmful in terms of creating new jobs?,Brazil,12/18/2001,415,70,16,14
lbalcabra,Benefits of ALCA in the economic development of the country,Brazil,4/11/2001,1000,38.7,43.3,18
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,8/2/2002,1000,73,18,9
cimaalcabra,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Brazil,2/14/2003,506,26,57,17
cimaglobbra,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Brazil,2/14/2003,506,56,35,9
lbftabra_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Brazil,8/7/2003,1200,32.42,49.33,18.25
cimaalcabra,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Brazil,5/30/2004,500,35,45,20
cimaglobbra,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Brazil,5/30/2004,500,55,38,7
lbftabra_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Brazil,6/16/2004,1204,31.65,14.2,54.15
lbalcabra,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Brazil,6/16/2004,1204,56.65,11.88,31.48
lbftabra_job,impact of economic integration agreements on job opportunities,Brazil,11/5/2006,1204,47.67,23.59,28.74
lbftabra_acc,impact of economic integration agreements on access to goods,Brazil,11/5/2006,1204,54.74,18.03,27.24
lbftabra_ind,impact of economic integration agreements on quality of life,Brazil,11/5/2006,1204,55.82,17.28,26.91
lbftabra_dev,impact of economic integration agreements on country development,Brazil,11/5/2006,1204,54.24,21.42,24.29
lbfreebra,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Brazil,11/5/2006,1204,77,17.52,5.48
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,5/5/2007,1000,72,25,3
lapftabra,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Brazil,2/1/2007,1214,46.5,39.3,14.2
lbfreebra,Agree with the elimination of import and export taxes in order to increase regional integration,Brazil,10/9/2007,1204,48.75,37.21,14.04
lbftabra_job,International free trade treaties have a very positive impact on job opportunities,Brazil,10/9/2007,1204,43.02,16.86,40.11
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,4/8/2008,1000,80,14,5
lapftabra,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Brazil,5/30/2008,1497,32.3,30.4,37.3
cimaftabra,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Brazil,3/31/2009,800,70,20,10
cimaglobbra,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Brazil,3/31/2009,800,77,16,7
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,6/14/2009,813,87,9,4
cidetradebra,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Brazil,12/1/2010,0,69,17,14
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,5/6/2010,1000,87,9,5
lapftabra,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Brazil,4/30/2010,2482,44.9,22.5,32.6
cimaftabra,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Brazil,4/30/2011,300,75,,
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,4/5/2011,802,81,12,7
cideglobalbra,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Brazil,11/30/2014,0,65,11,24
cidetradebra,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Brazil,11/30/2014,0,65,24,11
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,4/30/2014,1003,80,14,6
pewglobbra_wag,Do you agree that trade with other countries leads to an increase in the wages of your country's workers?,Brazil,4/30/2014,1003,79,16,6
pewglobbra_job,Do you agree that trade with other countries leads to jobs creation in your country?,Brazil,4/30/2014,1003,81,15,4
pewglobbra_pri,Do you agree that trade with other countries leads to a decrease in the price of products sold in your country?,Brazil,4/30/2014,1003,41,55,4
lbfreebra,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Brazil,2/15/2015,1250,77.92,9.92,12.16
lbfreebra,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Brazil,6/15/2016,1204,70.77,19.76,9.4
lbfreebra,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Brazil,8/28/2017,1200,78.33,14.67,7
pewglobbra,What do you think about the growing trade and business ties between your country and other countries?,Brazil,7/18/2018,1008,72,23,5
pewglobbra_wag,Do you agree that trade with other countries leads to an increase in the wages of your country's workers?,Brazil,7/18/2018,1008,73,20,8
pewglobbra_job,Do you agree that trade with other countries leads to jobs creation in your country?,Brazil,7/18/2018,1008,69,26,6
pewglobbra_pri,Do you agree that trade with other countries leads to a decrease in the price of products sold in your country?,Brazil,7/18/2018,1008,37,58,5
usiausftachi,Do you agree that a FTA with the United States will be beneficial to the economic development of your country?,Chile,8/19/1990,1500,64.2,21.2,14.6
usiafreechi,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Chile,9/30/1994,1282,28.3,68.5,3.2
lbalcachi,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Chile,5/30/1995,1240,63.87,9.84,26.29
lbfreechi,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Chile,6/30/1996,1200,73.75,11.25,15
lbalcachi,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Chile,6/30/1996,1200,41.83,34.67,23.5
lbfreechi,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Chile,12/11/1997,1200,68.09,20.83,11.08
wsjfreechi,Do you think that free trade is good or bad for our country?,Chile,3/30/1998,0,79,,
usiausftachi,(For respondents who say they know about the agreement) Do you agree that a FTA with the United States will be beneficial to the economic development of your country?,Chile,4/4/2001,435,76,17,7
usiaalcachi,(For respondents who say they know about the agreement) Would the FTAAs be beneficial or harmful in terms of creating new jobs?,Chile,11/23/2001,829,72,14,14
lbalcachi,Benefits of ALCA in the economic development of the country,Chile,5/17/2001,1174,71.13,14.83,14.05
cimaalcachi,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Chile,2/14/2003,501,74,14,12
cimaglobchi,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Chile,2/14/2003,501,76,17,7
lbftachi_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Chile,8/11/2003,1200,40.42,39.67,19.92
cimaalcachi,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Chile,5/30/2004,502,65,20,15
cimaglobchi,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Chile,5/30/2004,502,75,18,7
lbftachi_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Chile,6/2/2004,1200,51.33,10.25,38.42
lbalcachi,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Chile,6/2/2004,1200,72.5,9.58,17.92
lbftachi_job,impact of economic integration agreements on job opportunities,Chile,11/5/2006,1200,56.75,16.17,27.08
lbftachi_acc,impact of economic integration agreements on access to goods,Chile,11/5/2006,1200,70.84,12.91,16.25
lbftachi_ind,impact of economic integration agreements on quality of life,Chile,11/5/2006,1200,60.5,17.75,21.75
lbftachi_dev,impact of economic integration agreements on country development,Chile,11/5/2006,1200,70.67,13.92,15.42
lbfreechi,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Chile,11/5/2006,1200,74.58,18.42,7
pewglobchi,What do you think about the growing trade and business ties between your country and other countries?,Chile,4/27/2007,800,88,8,4
lbfreechi,Agree with the elimination of import and export taxes in order to increase regional integration,Chile,10/9/2007,1200,41,39.75,19.25
lbftachi_job,International free trade treaties have a very positive impact on job opportunities,Chile,10/9/2007,1200,52.83,10.42,36.76
cideglobalchi,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Chile,12/3/2008,1574,77,11,12
cidetradechi,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Chile,12/3/2008,1574,83,9,8
cimaftachi,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Chile,3/31/2009,601,81,9,10
cimaglobchi,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Chile,3/31/2009,601,78,12,10
cimaftachi,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Chile,4/30/2011,1011,76,,
cidetradechi,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Chile,11/30/2014,1206,76,10,14
cideglobalchi,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Chile,11/30/2014,586,59,12,29
cideglobal2chi,La globalizaci¢n tiene ventajas (ej.mayor oferta de productos a precios m s bajos) y desventajas (ej mayor vulnerabilidad frente a crisis internacionales). ¨Cree que esto es generalmente bueno o generalmente malo para el pais?,Chile,11/30/2014,620,50,15,35
pewglobchi,What do you think about the growing trade and business ties between your country and other countries?,Chile,5/5/2014,1000,85,9,7
lbfreechi,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Chile,2/15/2015,1200,77.75,9.41,12.83
lbfreechi,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Chile,6/15/2016,1200,72.33,15.5,12.17
lbfreechi,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Chile,8/28/2017,1200,74.09,8.58,17.33
usiafreecol,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Colombia,9/22/1985,1510,65.3,28,6.7
usiafreecol,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Colombia,3/12/1986,1414,66.5,28.8,4.7
usiafree2col,Some people favor restrictions on foreign imports to protect jobs in certain industries. Others oppose them because they would lead to higher prices for consumers. What do you prefer? (no restrictions: agree; restrictions: disagree),Colombia,3/12/1986,1414,49,45,6
usiauspolcol,Do you think that the free trade policy of the US toward Latin America will benefit the economy of your country?,Colombia,12/20/1993,1404,50,28,22
usiaalcacol,Do you think that the FTAAS will benefit the economy of your country?,Colombia,12/20/1993,1404,65,18,17
usiafreecol,Some countries favor few restrictions to trade. Others favor many restrictions in order to protect their own products. What do you think is best?,Colombia,9/30/1994,1357,42,55,3
usiauspolcol,Do you agree with the US policy of free trade in Latin America?,Colombia,12/3/1996,1200,78,11,11
lbfreecol,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Colombia,6/30/1996,1202,85.27,10.4,4.32
lbfreecol,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Colombia,12/17/1997,1200,64.34,32,3.67
wsjfreecol,Do you think that free trade is good or bad for our country?,Colombia,3/30/1998,0,80,,
lbalcacol,Benefits of ALCA in the economic development of the country,Colombia,5/15/2001,1199,60.55,13.85,25.6
cimaalcacol,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Colombia,2/14/2003,600,65,15,20
cimaglobcol,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Colombia,2/14/2003,600,54,35,11
lbftacol_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Colombia,8/18/2003,1200,20.16,15.92,63.91
cimaalcacol,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Colombia,5/30/2004,650,55,24,21
cimaglobcol,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Colombia,5/30/2004,650,48,41,11
lapftacol,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Colombia,4/1/2004,1479,51.3,23.9,24.7
lbftacol_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Colombia,6/25/2004,1200,42.25,21.17,36.58
lbalcacol,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Colombia,6/25/2004,1200,59.16,24.42,16.42
lbftacol_job,impact of economic integration agreements on job opportunities,Colombia,11/5/2006,1200,58.25,25.92,15.84
lbftacol_acc,impact of economic integration agreements on access to goods,Colombia,11/5/2006,1200,67.42,19,13.58
lbftacol_ind,impact of economic integration agreements on quality of life,Colombia,11/5/2006,1200,65.83,21.66,12.5
lbftacol_dev,impact of economic integration agreements on country development,Colombia,11/5/2006,1200,64.92,23.17,11.91
lbfreecol,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Colombia,11/5/2006,1200,83.75,14.75,1.5
lbfreecol,Agree with the elimination of import and export taxes in order to increase regional integration,Colombia,10/9/2007,1200,65.33,28.92,5.75
lbftacol_job,International free trade treaties have a very positive impact on job opportunities,Colombia,10/9/2007,1200,54.41,19.75,25.83
cidetradecol,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Colombia,10/29/2008,1500,49,25,26
lapftacol,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Colombia,2/28/2008,1503,42.2,30.1,27.7
